  Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 hooks.py:20(default_hooks)
        1    0.000    0.000    0.000    0.000 hooks.py:29(dispatch_hook)
      859    0.019    0.000  312.154    0.363 httplib.py:1009(getresponse)
      858    0.003    0.000    0.011    0.000 httplib.py:1160(__init__)
      858    0.022    0.000  177.093    0.206 httplib.py:1168(connect)
    14584    0.020    0.000    0.024    0.000 httplib.py:220(addheader)
      859    0.123    0.000    0.381    0.000 httplib.py:234(readheaders)
      859    0.007    0.000    0.024    0.000 httplib.py:335(__init__)
      859    0.022    0.000  311.642    0.363 httplib.py:363(_read_status)
      859    0.026    0.000  312.105    0.363 httplib.py:402(begin)
      859    0.003    0.000    0.007    0.000 httplib.py:488(_check_close)
     1718    0.009    0.000    0.154    0.000 httplib.py:518(close)
        2    0.000    0.000    0.000    0.000 httplib.py:523(isclosed)
     4144    0.029    0.000   56.154    0.014 httplib.py:534(read)
      991    0.013    0.000    4.166    0.004 httplib.py:579(_read_chunked)
     1495    0.010    0.000    4.143    0.003 httplib.py:637(_safe_read)
        1    0.000    0.000    0.000    0.000 httplib.py:673(getheaders)
      859    0.004    0.000    0.008    0.000 httplib.py:691(__init__)
      859    0.003    0.000    0.004    0.000 httplib.py:721(_set_hostport)
      858    0.000    0.000    0.000    0.000 httplib.py:741(set_debuglevel)
        1    0.000    0.000    0.899    0.899 httplib.py:769(connect)
      858    0.003    0.000    0.005    0.000 httplib.py:777(close)
      859    0.013    0.000  180.342    0.210 httplib.py:787(send)
     4296    0.003    0.000    0.004    0.000 httplib.py:807(_output)
      859    0.006    0.000  180.352    0.210 httplib.py:814(_send_output)
      859    0.007    0.000    0.013    0.000 httplib.py:835(putrequest)
     3437    0.009    0.000    0.012    0.000 httplib.py:945(putheader)
      859    0.004    0.000  180.356    0.210 httplib.py:956(endheaders)
      859    0.003    0.000  180.393    0.210 httplib.py:971(request)
      859    0.011    0.000  180.390    0.210 httplib.py:992(_send_request)
      857    0.006    0.000    0.018    0.000 idna.py:147(encode)
     2570    0.004    0.000    0.008    0.000 idna.py:62(ToASCII)
      859    0.010    0.000    0.426    0.000 mimetools.py:24(__init__)
      859    0.011    0.000    0.016    0.000 mimetools.py:33(parsetype)
      859    0.007    0.000    0.009    0.000 mimetools.py:50(parseplist)
        1    0.000    0.000    0.000    0.000 models.py:139(register_hook)
        1    0.000    0.000    0.000    0.000 models.py:145(<genexpr>)
        1    0.000    0.000    0.000    0.000 models.py:182(__init__)
        1    0.000    0.000    0.001    0.001 models.py:217(prepare)
        2    0.000    0.000    0.000    0.000 models.py:255(__init__)
        1    0.000    0.000    0.000    0.000 models.py:270(prepare_method)
        1    0.000    0.000    0.000    0.000 models.py:276(prepare_url)
        1    0.000    0.000    0.000    0.000 models.py:336(prepare_headers)
        4    0.000    0.000    0.000    0.000 models.py:340(<genexpr>)
        1    0.000    0.000    0.000    0.000 models.py:345(prepare_body)
        1    0.000    0.000    0.000    0.000 models.py:38(path_url)
        1    0.000    0.000    0.000    0.000 models.py:402(prepare_content_length)
        1    0.000    0.000    0.000    0.000 models.py:414(prepare_auth)
        1    0.000    0.000    0.000    0.000 models.py:436(prepare_cookies)
        1    0.000    0.000    0.000    0.000 models.py:449(prepare_hooks)
        1    0.000    0.000    0.000    0.000 models.py:460(__init__)
        1    0.000    0.000    0.000    0.000 models.py:528(iter_content)
        2    0.000    0.000    0.001    0.001 models.py:539(generate)
        4    0.000    0.000    0.001    0.000 models.py:580(content)
        2    0.000    0.000    0.000    0.000 models.py:59(_encode_params)
        1    0.000    0.000    0.000    0.000 models.py:637(json)
        1    0.000    0.000    0.000    0.000 ordered_dict.py:125(items)
        3    0.000    0.000    0.000    0.000 ordered_dict.py:143(update)
        2    0.000    0.000    0.000    0.000 ordered_dict.py:29(__init__)
        2    0.000    0.000    0.000    0.000 ordered_dict.py:45(__setitem__)
        8    0.000    0.000    0.000    0.000 ordered_dict.py:64(__iter__)
        2    0.000    0.000    0.000    0.000 platform.py:1166(uname)
        1    0.000    0.000    0.000    0.000 platform.py:1303(system)
        1    0.000    0.000    0.000    0.000 platform.py:1322(release)
        2    0.000    0.000    0.000    0.000 platform.py:1381(_sys_version)
        1    0.000    0.000    0.000    0.000 platform.py:1474(python_implementation)
        1    0.000    0.000    0.000    0.000 platform.py:1487(python_version)
        1    0.000    0.000    0.000    0.000 poolmanager.py:113(connection_from_url)
        2    0.000    0.000    0.000    0.000 poolmanager.py:58(__init__)
        1    0.000    0.000    0.000    0.000 poolmanager.py:64(_new_pool)
        1    0.000    0.000    0.000    0.000 poolmanager.py:90(connection_from_host)
        2    0.000    0.000    0.000    0.000 posixpath.py:258(expanduser)
        3    0.000    0.000    0.000    0.000 request.py:50(__init__)
        2    0.000    0.000    0.000    0.000 response.py:113(release_conn)
        2    0.000    0.000    0.001    0.001 response.py:129(read)
        1    0.000    0.000    0.000    0.000 response.py:203(from_httplib)
        1    0.000    0.000    0.000    0.000 response.py:44(_get_decoder)
        1    0.000    0.000    0.000    0.000 response.py:76(__init__)
    14584    0.023    0.000    0.042    0.000 rfc822.py:197(isheader)
    15443    0.008    0.000    0.008    0.000 rfc822.py:209(islast)
    15443    0.005    0.000    0.005    0.000 rfc822.py:219(iscomment)
        4    0.000    0.000    0.000    0.000 rfc822.py:228(getallmatchingheaders)
     5154    0.007    0.000    0.012    0.000 rfc822.py:285(getheader)
        4    0.000    0.000    0.000    0.000 rfc822.py:295(getheaders)
        1    0.000    0.000    0.000    0.000 rfc822.py:454(items)
      859    0.004    0.000    0.385    0.000 rfc822.py:88(__init__)
        1    0.000    0.000    0.000    0.000 sessions.py:171(__init__)
        1    0.000    0.000    3.856    3.856 sessions.py:225(request)
        8    0.000    0.000    0.000    0.000 sessions.py:37(merge_setting)
        1    0.000    0.000    3.855    3.855 sessions.py:408(send)
        1    0.000    0.000    0.000    0.000 sessions.py:466(get_adapter)
        2    0.000    0.000    0.000    0.000 sessions.py:481(mount)
        1    0.000    0.000    0.000    0.000 sessions.py:69(resolve_redirects)
     1717    0.032    0.000    0.045    0.000 socket.py:185(__init__)
      858    0.033    0.000    0.037    0.000 socket.py:192(close)
        1    0.000    0.000    0.000    0.000 socket.py:212(makefile)
     1720    0.011    0.000   51.719    0.030 socket.py:223(meth)
     1717    0.012    0.000    0.014    0.000 socket.py:246(__init__)
     2576    0.024    0.000    0.149    0.000 socket.py:276(close)
     1717    0.008    0.000    0.024    0.000 socket.py:285(__del__)
     1717    0.002    0.000    0.002    0.000 socket.py:292(flush)
 4647/864    0.096    0.000   56.216    0.065 socket.py:336(read)
    16559    0.111    0.000  311.779    0.019 socket.py:406(readline)
      859    0.024    0.000   64.961    0.076 socket.py:537(create_connection)
      858    0.037    0.000  112.987    0.132 ssl.py:106(__init__)
     6604    0.021    0.000  366.681    0.056 ssl.py:154(read)
      858    0.004    0.000    0.046    0.000 ssl.py:190(send)
      858    0.007    0.000    0.054    0.000 ssl.py:220(sendall)
     6604    0.020    0.000  366.702    0.056 ssl.py:235(recv)
     1716    0.087    0.000    0.124    0.000 ssl.py:294(close)
      858    0.004    0.000  112.803    0.131 ssl.py:301(do_handshake)
      858    0.009    0.000    0.018    0.000 ssl.py:363(makefile)
      858    0.022    0.000  113.009    0.132 ssl.py:376(wrap_socket)
        1    0.000    0.000    0.000    0.000 structures.py:105(copy)
        5    0.000    0.000    0.000    0.000 structures.py:65(__init__)
       20    0.000    0.000    0.000    0.000 structures.py:71(__setitem__)
       11    0.000    0.000    0.000    0.000 structures.py:76(__getitem__)
        3    0.000    0.000    0.000    0.000 structures.py:82(__iter__)
       14    0.000    0.000    0.000    0.000 structures.py:83(<genexpr>)
        1    0.000    0.000    0.000    0.000 structures.py:85(__len__)
        4    0.000    0.000    0.000    0.000 threading.py:113(RLock)
        4    0.000    0.000    0.000    0.000 threading.py:131(__init__)
        4    0.000    0.000    0.000    0.000 threading.py:146(acquire)
        4    0.000    0.000    0.000    0.000 threading.py:186(release)
        3    0.000    0.000    0.000    0.000 threading.py:241(Condition)
        3    0.000    0.000    0.000    0.000 threading.py:259(__init__)
       12    0.000    0.000    0.000    0.000 threading.py:299(_is_owned)
       12    0.000    0.000    0.000    0.000 threading.py:372(notify)
        7    0.000    0.000    0.000    0.000 threading.py:58(__init__)
       20    0.000    0.000    0.000    0.000 threading.py:63(_note)
      858    0.003    0.000    0.011    0.000 urllib.py:1003(__init__)
      858    0.000    0.000    0.000    0.000 urllib.py:1009(info)
      858    0.001    0.000    0.001    0.000 urllib.py:1040(_is_unicode)
      858    0.005    0.000    0.005    0.000 urllib.py:1055(unwrap)
      858    0.004    0.000    0.006    0.000 urllib.py:1064(splittype)
      858    0.003    0.000    0.006    0.000 urllib.py:1078(splithost)
      858    0.002    0.000    0.007    0.000 urllib.py:1166(splittag)
      858    0.002    0.000    0.003    0.000 urllib.py:1204(unquote)
        1    0.000    0.000    0.000    0.000 urllib.py:1245(quote)
        1    0.000    0.000    0.000    0.000 urllib.py:1291(urlencode)
      858    0.006    0.000    0.008    0.000 urllib.py:949(__init__)
      858    0.007    0.000    0.024    0.000 urllib2.py:1110(do_request_)
      858    0.038    0.000  488.770    0.570 urllib2.py:1139(do_open)
      858    0.000    0.000    0.000    0.000 urllib2.py:1157(<genexpr>)
     3432    0.003    0.000    0.005    0.000 urllib2.py:1168(<genexpr>)
